tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,day
562,567,16,14,1
1176,1256,1,29,31
392,393,9,7,29
1392,1392,18,18,5
735,791,2,22,19
181,198,23,22,13
539,569,3,18,10
145,183,19,3,20
524,532,12,18,27
1385,1434,25,10,24
228,241,10,15,15
793,857,22,5,20
517,578,26,11,27
445,455,5,1,31
293,374,4,29,11
766,811,20,1,10
82,103,7,5,23
487,506,9,1,30
541,555,2,9,27
882,945,29,10,29
1014,1017,15,14,5
216,275,7,26,22
147,154,12,7,21
1063,1097,22,13,20
19,39,14,6,1
506,584,4,26,5
672,714,20,3,30
367,404,26,20,15
204,241,30,22,18
137,171,22,13,2
59,67,10,12,2
1202,1219,22,23,30
890,918,2,18,9
248,276,5,12,17
608,625,21,24,20
671,718,17,28,15
1435,1493,9,26,17
1142,1153,15,9,5
920,943,7,19,24
718,782,27,10,29
998,1046,19,30,28
770,823,5,21,7
1401,1462,2,25,7
742,812,8,26,8
181,266,28,5,23
617,651,11,21,3
1279,1289,12,17,17
895,952,16,28,2
220,235,7,18,21
972,998,8,18,28
381,436,28,14,30
652,652,4,4,20
1117,1149,16,23,27
651,654,18,16,4
1301,1351,23,8,13
826,874,24,9,7
1127,1138,19,15,5
1352,1366,15,11,9
640,646,19,17,18
1431,1437,15,16,10
946,966,14,8,10
149,201,2,23,28
229,303,27,8,12
438,490,26,16,21
311,317,14,13,1
323,338,20,16,28
1154,1180,5,8,7
1433,1481,25,7,1
75,81,12,9,16
567,599,17,3,21
325,325,7,7,31
1408,1488,29,1,7
1158,1184,8,18,15
1107,1127,7,4,7
1100,1120,4,9,9
149,173,23,27,11
1010,1070,5,23,13
1378,1408,5,14,12
920,959,29,19,31
1243,1296,27,18,29
999,1046,25,9,20
777,815,20,6,20
1178,1257,28,3,26
1258,1341,28,4,16
751,789,23,9,31
1147,1205,3,22,1
887,929,28,20,27
437,520,5,29,11
982,989,16,12,31
996,1077,27,1,6
17,17,23,23,10
521,529,18,12,22
514,579,28,10,23
659,710,24,11,1
1127,1144,5,6,17
421,503,30,6,24
1314,1337,15,6,31
1012,1057,29,17,14
954,954,8,8,29
158,175,24,21,26
1217,1251,13,4,19
1098,1135,22,30,22
1297,1336,18,24,21
431,512,1,27,18
442,534,5,30,17
1112,1112,13,13,23
760,807,3,21,7
1296,1297,10,7,23
791,799,17,13,18
1388,1399,15,9,31
1260,1335,2,29,18
625,666,12,25,20
963,988,28,23,24
668,728,6,24,25
500,563,25,3,11
1290,1303,6,3,8
794,796,2,3,11
939,953,11,15,13
906,914,17,18,16
691,698,13,16,6
844,856,6,9,3
447,465,19,20,19
1372,1378,16,15,26
1128,1167,19,29,17
1176,1206,23,13,24
1390,1404,19,13,17
207,213,19,17,17
672,692,21,15,7
480,527,9,25,3
1183,1199,10,11,1
682,768,30,3,1
1004,1042,5,17,17
657,704,25,9,6
1291,1354,29,10,28
1309,1373,10,27,10
857,916,26,7,16
732,756,19,10,1
1199,1206,4,2,18
703,738,4,11,10
359,384,11,19,9
479,491,8,9,29
1108,1114,9,12,2
678,679,7,10,27
122,151,11,20,27
1417,1440,14,21,3
394,405,24,23,16
1348,1350,25,24,29
466,488,9,5,7
260,272,20,18,22
122,153,26,22,20
1377,1392,20,15,30
1438,1477,21,30,27
588,652,10,27,23
847,883,15,25,28
1391,1471,1,29,26
1037,1069,28,21,22
190,238,20,5,11
465,491,6,18,11
571,623,15,28,5
1437,1452,25,27,2
1375,1389,28,30,28
703,737,4,18,14
201,249,24,9,22
1432,1455,14,21,18
42,55,12,11,12
1239,1287,30,19,23
831,913,1,28,5
1208,1290,6,30,31
1013,1038,1,12,29
504,517,7,6,1
